Año,Trimestre,Provincia,Otros,"0,256 Mbps","0,375 Mbps","0,625 Mbps","0,5 Mbps","0,512 Mbps","0,75 Mbps",1 Mbps,"1,2 Mbps","1,25 Mbps","1,5 Mbps",2 Mbps,"2,2 Mbps","2,5 Mbps","6,7 Mbps",3 Mbps,"3,2 Mbps","3,3 Mbps","3,5 Mbps",4 Mbps,"4,5 Mbps",5 Mbps,6 Mbps,"6,4 Mbps",7 Mbps,"7,5 Mbps",8 Mbps,9 Mbps,10 Mbps,"10,1 Mbps","10,2 Mbps","10,6 Mbps",11 Mbps,12 Mbps,"12,3 Mbps",13 Mbps,14 Mbps,15 Mbps,16 Mbps,17 Mbps,18 Mbps,19 Mbps,20 Mbps,"20,5 Mbps",21 Mbps,22 Mbps,23 Mbps,24 Mbps,25 Mbps,"25,1 Mbps","25,11 Mbps","25,5 Mbps",26 Mbps,27 Mbps,28 Mbps,29 Mbps,30 Mbps,31 Mbps,32 Mbps,34 Mbps,35 Mbps,36 Mbps,37 Mbps,38 Mbps,39 Mbps,40 Mbps,41 Mbps,45 Mbps,46 Mbps,47 Mbps,48 Mbps,49 Mbps,50 Mbps,"50,1 Mbps",51 Mbps,"50,25 Mbps",52 Mbps,54 Mbps,55 Mbps,56 Mbps,58 Mbps,59 Mbps,60 Mbps,61 Mbps,62 Mbps,63 Mbps,64 Mbps,65 Mbps,66 Mbps,67 Mbps,68 Mbps,70 Mbps,71 Mbps,75 Mbps,77 Mbps,78 Mbps,80 Mbps,81 Mbps,83 Mbps,82 Mbps,86 Mbps,84 Mbps,85 Mbps,90 Mbps,91 Mbps,92 Mbps,95 Mbps,97 Mbps,98 Mbps,100 Mbps,"100,1 Mbps","100,25 Mbps",105 Mbps,109 Mbps,110 Mbps,120 Mbps,122 Mbps,125 Mbps,126 Mbps,127 Mbps,128 Mbps,130 Mbps,131 Mbps,134 Mbps,137 Mbps,140 Mbps,145 Mbps,150 Mbps,155 Mbps,157 Mbps,158 Mbps,160 Mbps,164 Mbps,165 Mbps,180 Mbps,200 Mbps,203 Mbps,205 Mbps,212 Mbps,220 Mbps,225 Mbps,234 Mbps,240 Mbps,246 Mbps,250 Mbps,256 Mbps,270 Mbps,275 Mbps,300 Mbps,320 Mbps,325 Mbps,330 Mbps,340 Mbps,350 Mbps,380 Mbps,384 Mbps,400 Mbps,450 Mbps,473 Mbps,480 Mbps,500 Mbps,512 Mbps,520 Mbps,540 Mbps,600 Mbps,640 Mbps,680 Mbps,700 Mbps,768 Mbps,800 Mbps,850 Mbps,900 Mbps,945 Mbps,950 Mbps,999 Mbps,1000 Mbps,1024 Mbps,1075 Mbps,1536 Mbps,2000 Mbps,2048 Mbps,2529 Mbps,3072 Mbps,4000 Mbps,5000 Mbps,5125 Mbps,6000 Mbps,7000 Mbps,8000 Mbps,10000 Mbps,Fecha
2017,4,Buenos AiresCapital FederalCatamarcaChacoChubutCórdobaCorrientesEntre RíosFormosaJujuyLa PampaLa RiojaMendozaMisionesNeuquénRío NegroSaltaSan JuanSan LuisSanta CruzSanta FeSantiago Del EsteroTierra Del FuegoTucumán,155145.0,0.0,0.0,0.0,15041.0,0.0,63480.0,157994.0,0.0,0.0,0.0,47254.0,0.0,0,0.0,68073.0,0.0,0.0,531285.0,45686.0,0.0,27436.0,3053425.0,0.0,1961.0,0.0,114057.0,335.0,889192.0,0.0,0.0,0.0,11.0,1031003.0,0.0,3.0,1.0,57222.0,115.0,1.0,122707.0,0.0,519290.0,0.0,25.0,0.0,0.0,3.0,376740.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,258906.0,0.0,0.0,0.0,1835.0,0.0,0.0,0.0,0.0,42.0,0.0,394.0,0.0,0.0,0.0,1.0,267949.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,51678.0,0.0,0.0,0.0,0.0,2.0,8.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,11895.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-10-01
2018,1,Buenos AiresCapital FederalCatamarcaChacoChubutCórdobaCorrientesEntre RíosFormosaJujuyLa PampaLa RiojaMendozaMisionesNeuquénRío NegroSaltaSan JuanSan LuisSanta CruzSanta FeSantiago Del EsteroTierra Del FuegoTucumán,236584.0,0.0,0.0,0.0,7309.0,0.0,61016.0,154390.0,0.0,0.0,0.0,76350.0,0.0,0,0.0,117353.0,0.0,0.0,413261.0,65380.0,0.0,28727.0,2571653.0,0.0,2006.0,0.0,112116.0,335.0,862499.0,0.0,0.0,0.0,13.0,1416830.0,0.0,3.0,1.0,59677.0,115.0,1.0,108818.0,0.0,482629.0,0.0,25.0,0.0,0.0,3.0,488927.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,374265.0,0.0,0.0,0.0,1835.0,0.0,0.0,0.0,0.0,40.0,0.0,394.0,0.0,0.0,0.0,1.0,307135.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,69656.0,0.0,0.0,0.0,0.0,2.0,8.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,17669.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-01-01
2018,2,Buenos AiresCapital FederalCatamarcaChacoChubutCórdobaCorrientesEntre RíosFormosaJujuyLa PampaLa RiojaMendozaMisionesNeuquénRío NegroSaltaSan JuanSan LuisSanta CruzSanta FeSantiago Del EsteroTierra Del FuegoTucumán,243830.0,0.0,0.0,0.0,5972.0,0.0,55427.0,164040.0,0.0,0.0,0.0,92748.0,0.0,0,0.0,375262.0,0.0,0.0,352358.0,82885.0,0.0,41289.0,2366951.0,0.0,3789.0,0.0,110431.0,345.0,864851.0,0.0,0.0,0.0,13.0,1290230.0,0.0,3.0,1.0,171278.0,6.0,3.0,92174.0,1.0,352130.0,0.0,25.0,0.0,0.0,7.0,627978.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,373055.0,0.0,0.0,0.0,1836.0,0.0,2.0,0.0,0.0,341.0,0.0,394.0,0.0,0.0,0.0,1.0,316635.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,1.0,6.0,0.0,0.0,2.0,9.0,2.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,2.0,0.0,2.0,123519.0,0.0,0.0,0.0,0.0,2.0,8.0,0.0,0.0,0.0,5.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,566.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-04-01
2018,3,Buenos AiresCapital FederalCatamarcaChacoChubutCórdobaCorrientesEntre RíosFormosaJujuyLa PampaLa RiojaMendozaMisionesNeuquénRío NegroSaltaSan JuanSan LuisSanta CruzSanta FeSantiago Del EsteroTierra Del FuegoTucumán,166348.0,0.0,0.0,0.0,5675.0,0.0,48161.0,172428.0,0.0,0.0,0.0,88528.0,0.0,0,0.0,408266.0,0.0,0.0,317630.0,81904.0,0.0,52916.0,2444160.0,0.0,6876.0,0.0,104850.0,858.0,746829.0,0.0,0.0,0.0,13.0,1163892.0,0.0,3.0,1.0,157247.0,6.0,3.0,74559.0,1.0,209412.0,0.0,25.0,0.0,0.0,15.0,783726.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,789055.0,0.0,0.0,0.0,1921.0,0.0,2.0,0.0,0.0,723.0,0.0,807.0,0.0,0.0,0.0,1.0,359214.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,1.0,7.0,0.0,0.0,2.0,11.0,2.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,2.0,0.0,2.0,159669.0,0.0,0.0,0.0,0.0,2.0,8.0,0.0,0.0,0.0,5.0,0.0,4.0,0.0,1.0,0.0,1.0,0.0,1239.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-07-01
2018,4,Buenos AiresCapital FederalCatamarcaChacoChubutCórdobaCorrientesEntre RíosFormosaJujuyLa PampaLa RiojaMendozaMisionesNeuquénRío NegroSaltaSan JuanSan LuisSanta CruzSanta FeSantiago Del EsteroTierra Del FuegoTucumán,152388.0,0.0,0.0,0.0,138740.0,0.0,41772.0,159424.0,0.0,0.0,0.0,83468.0,0.0,0,0.0,438944.0,0.0,0.0,203208.0,80728.0,0.0,104139.0,2427495.0,0.0,24993.0,0.0,90559.0,852.0,765984.0,0.0,0.0,0.0,15.0,1052569.0,0.0,3.0,1.0,146914.0,4.0,1.0,60190.0,0.0,212937.0,0.0,25.0,0.0,0.0,7.0,906899.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,783265.0,1.0,54.0,1.0,1966.0,0.0,0.0,0.0,1.0,805.0,1.0,944.0,0.0,1.0,0.0,1.0,388296.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,30.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,1.0,0.0,3.0,0.0,0.0,204716.0,0.0,0.0,3.0,1.0,2.0,11.0,2.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,3.0,2.0,0.0,1259.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-10-01
2019,1,Buenos AiresCapital FederalCatamarcaChacoChubutCórdobaCorrientesEntre RíosFormosaJujuyLa PampaLa RiojaMendozaMisionesNeuquénRío NegroSaltaSan JuanSan LuisSanta CruzSanta FeSantiago Del EsteroTierra Del FuegoTucumán,126570.0,0.0,0.0,0.0,166573.0,0.0,35090.0,160616.0,0.0,0.0,0.0,95062.0,0.0,0,0.0,454528.0,0.0,0.0,164382.0,83411.0,0.0,126438.0,2504938.0,0.0,26004.0,0.0,84227.0,868.0,771737.0,0.0,0.0,0.0,19.0,1047842.0,0.0,4.0,3.0,145028.0,143.0,1.0,60190.0,0.0,211518.0,0.0,25.0,0.0,0.0,7.0,908135.0,0.0,0.0,0.0,0.0,0.0,0.0,917.0,336578.0,1.0,0.0,1.0,1967.0,0.0,0.0,0.0,1.0,846.0,1.0,948.0,0.0,1.0,0.0,1.0,901781.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,29.0,0.0,2.0,0.0,0.0,5.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,1.0,0.0,3.0,0.0,0.0,229618.0,0.0,0.0,3.0,1.0,2.0,10.0,2.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,3.0,2.0,0.0,2029.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-01-01
2019,2,Buenos AiresCapital FederalCatamarcaChacoChubutCórdobaCorrientesEntre RíosFormosaJujuyLa PampaLa RiojaMendozaMisionesNeuquénRío NegroSaltaSan JuanSan LuisSanta CruzSanta FeSantiago Del EsteroTierra Del FuegoTucumán,247983.0,0.0,0.0,0.0,202790.0,0.0,33780.0,144974.0,0.0,0.0,0.0,86448.0,0.0,0,0.0,409114.0,0.0,0.0,147683.0,93211.0,0.0,155972.0,2469256.0,0.0,28753.0,0.0,78521.0,15017.0,748851.0,0.0,0.0,0.0,19.0,798278.0,0.0,4.0,114.0,86629.0,159.0,1.0,70472.0,0.0,213956.0,0.0,1.0,0.0,0.0,280.0,1195454.0,0.0,0.0,0.0,0.0,0.0,0.0,917.0,53818.0,1.0,0.0,1.0,1967.0,0.0,0.0,0.0,0.0,944.0,1.0,948.0,0.0,1.0,0.0,1.0,1347192.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,29.0,0.0,1.0,0.0,0.0,5.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,315366.0,0.0,0.0,0.0,0.0,2.0,12.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,643.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9587.0,0.0,0.0,0.0,0.0,0.0,380.0,0.0,448.0,0.0,0.0,0.0,1.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,148.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-04-01
2019,3,Buenos AiresCapital FederalCatamarcaChacoChubutCórdobaCorrientesEntre RíosFormosaJujuyLa PampaLa RiojaMendozaMisionesNeuquénRío NegroSaltaSan JuanSan LuisSanta CruzSanta FeSantiago Del EsteroTierra Del FuegoTucumán,245687.0,165.0,0.0,0.0,241331.0,218.0,31973.0,147553.0,0.0,0.0,54.0,104030.0,0.0,0,0.0,406889.0,0.0,0.0,128626.0,99210.0,0.0,115909.0,2354870.0,0.0,9574.0,0.0,84401.0,15015.0,917869.0,0.0,0.0,0.0,12.0,328769.0,0.0,2.0,122.0,81315.0,165.0,0.0,175076.0,0.0,221006.0,0.0,2.0,1.0,0.0,284.0,1084893.0,0.0,0.0,0.0,0.0,0.0,0.0,917.0,55551.0,1.0,0.0,1.0,1971.0,0.0,0.0,0.0,0.0,759.0,1.0,948.0,0.0,1.0,0.0,1.0,1876841.0,0.0,0.0,0.0,0.0,2.0,1.0,227.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,30.0,0.0,1.0,0.0,0.0,14.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,379953.0,0.0,0.0,0.0,0.0,1.0,13.0,0.0,5.0,0.0,0.0,218.0,0.0,0.0,0.0,1.0,1.0,2.0,6965.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,2607.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,1400.0,245.0,0.0,1.0,38775.0,0.0,2.0,0.0,0.0,0.0,380.0,1.0,451.0,1.0,0.0,0.0,148.0,912.0,0.0,0.0,0.0,1.0,0.0,2.0,19.0,1.0,1.0,0.0,0.0,0.0,0.0,235.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-07-01
2019,4,Buenos AiresCapital FederalCatamarcaChacoChubutCórdobaCorrientesEntre RíosFormosaJujuyLa PampaLa RiojaMendozaMisionesNeuquénRío NegroSaltaSan JuanSan LuisSanta CruzSanta FeSantiago Del EsteroTierra Del FuegoTucumán,201046.0,165.0,0.0,0.0,36049.0,2058.0,28980.0,138356.0,0.0,0.0,730.0,92433.0,27.0,0,0.0,382883.0,0.0,0.0,102770.0,72209.0,0.0,107789.0,1895110.0,0.0,7388.0,0.0,29186.0,23407.0,986147.0,0.0,0.0,1.0,12.0,343842.0,0.0,2.0,31.0,84216.0,271.0,0.0,176222.0,0.0,247022.0,0.0,2.0,1.0,0.0,696.0,894354.0,0.0,0.0,0.0,0.0,0.0,0.0,917.0,108113.0,0.0,0.0,1.0,16.0,0.0,0.0,0.0,0.0,865.0,1.0,2185.0,0.0,1.0,0.0,1.0,2305522.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,45.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,9.0,0.0,76.0,0.0,0.0,17.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,459539.0,0.0,0.0,0.0,0.0,1.0,17.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,6940.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,2698.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,1400.0,0.0,0.0,1.0,49480.0,0.0,2.0,0.0,0.0,0.0,380.0,0.0,3.0,1.0,0.0,0.0,1154.0,12.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,344.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-10-01
2020,1,Buenos AiresCapital FederalCatamarcaChacoChubutCórdobaCorrientesEntre RíosFormosaJujuyLa PampaLa RiojaMendozaMisionesNeuquénRío NegroSaltaSan JuanSan LuisSanta CruzSanta FeSantiago Del EsteroTierra Del FuegoTucumán,194212.0,165.0,225.0,111.0,40018.0,2142.0,28980.0,129391.0,0.0,25.0,755.0,84567.0,27.0,1158,0.0,363650.0,0.0,0.0,102775.0,61029.0,0.0,97566.0,1835955.0,0.0,13252.0,0.0,38402.0,23993.0,946367.0,0.0,0.0,1.0,12.0,277558.0,0.0,1777.0,31.0,81672.0,270.0,0.0,162719.0,0.0,290430.0,0.0,2.0,1.0,0.0,1090.0,446677.0,0.0,0.0,0.0,0.0,0.0,0.0,917.0,83725.0,0.0,0.0,1.0,36.0,0.0,0.0,0.0,0.0,876.0,1.0,2185.0,0.0,0.0,0.0,1.0,2130829.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,51.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,8.0,0.0,78.0,0.0,0.0,11.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1224011.0,0.0,0.0,0.0,0.0,1.0,17.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,6943.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,2700.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,1400.0,0.0,0.0,1.0,127068.0,0.0,2.0,0.0,0.0,0.0,380.0,0.0,3.0,1.0,0.0,0.0,1438.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2704.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-01-01
2020,2,Buenos AiresCapital FederalCatamarcaChacoChubutCórdobaCorrientesEntre RíosFormosaJujuyLa PampaLa RiojaMendozaMisionesNeuquénRío NegroSaltaSan JuanSan LuisSanta CruzSanta FeSantiago Del EsteroTierra Del FuegoTucumán,194008.0,114.0,225.0,111.0,38283.0,2416.0,27812.0,131609.0,0.0,25.0,1021.0,92675.0,27.0,1193,0.0,359319.0,0.0,0.0,101444.0,62344.0,0.0,108026.0,1814586.0,0.0,19301.0,0.0,38277.0,16300.0,979229.0,0.0,0.0,1.0,12.0,295103.0,0.0,1781.0,32.0,76973.0,322.0,0.0,142971.0,0.0,290580.0,0.0,3.0,1.0,0.0,1391.0,422464.0,0.0,0.0,0.0,0.0,0.0,1.0,917.0,98763.0,0.0,0.0,2.0,35.0,65.0,0.0,2.0,30.0,966.0,1.0,165.0,3.0,0.0,0.0,1.0,2301836.0,0.0,0.0,0.0,0.0,54.0,2.0,0.0,1.0,0.0,98.0,0.0,1.0,0.0,4.0,0.0,1.0,1.0,0.0,9.0,0.0,3.0,0.0,2.0,10.0,1.0,1.0,1.0,0.0,0.0,0.0,34.0,0.0,3.0,1.0,0.0,0.0,1252101.0,0.0,0.0,0.0,0.0,3.0,12.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6877.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,2718.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,1400.0,0.0,1.0,1.0,139653.0,0.0,2.0,0.0,4.0,0.0,380.0,0.0,464.0,1.0,1.0,0.0,1668.0,1.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,2747.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-04-01
2020,3,Buenos AiresCapital FederalCatamarcaChacoChubutCórdobaCorrientesEntre RíosFormosaJujuyLa PampaLa RiojaMendozaMisionesNeuquénRío NegroSaltaSan JuanSan LuisSanta CruzSanta FeSantiago Del EsteroTierra Del FuegoTucumán,201777.0,114.0,225.0,111.0,38283.0,2416.0,27812.0,129550.0,0.0,25.0,1028.0,98980.0,27.0,1306,0.0,377130.0,65.0,0.0,86472.0,60762.0,0.0,111244.0,1787477.0,0.0,17118.0,0.0,40529.0,14679.0,967691.0,0.0,0.0,1.0,12.0,297578.0,0.0,1781.0,34.0,74117.0,274.0,0.0,121285.0,0.0,304268.0,0.0,3.0,1.0,46.0,1725.0,433024.0,0.0,0.0,0.0,0.0,0.0,54.0,917.0,102900.0,0.0,0.0,2.0,39.0,66.0,0.0,2.0,30.0,1026.0,1.0,157.0,3.0,0.0,0.0,1.0,2518878.0,0.0,1.0,0.0,0.0,54.0,2.0,0.0,1.0,0.0,4732.0,0.0,1.0,148.0,4.0,1.0,1.0,1.0,0.0,140.0,0.0,356.0,0.0,2.0,11.0,1.0,1.0,1.0,0.0,0.0,0.0,34.0,0.0,3.0,1.0,0.0,0.0,1333306.0,0.0,0.0,0.0,0.0,3.0,12.0,0.0,4.0,1.0,0.0,0.0,0.0,841.0,0.0,0.0,1.0,0.0,7031.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,2732.0,1.0,0.0,0.0,1.0,487.0,0.0,0.0,0.0,1402.0,0.0,1.0,1.0,173443.0,0.0,2.0,0.0,4.0,0.0,380.0,0.0,464.0,1.0,1.0,0.0,1976.0,746.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,3709.0,0.0,4.0,1.0,0.0,860.0,0.0,227.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-07-01
