A̱o,Trimestre,Mbps (Media de bajada)
2014,1,3.2412844235010816
2014,2,3.335636032958513
2014,3,3.383872315354855
2014,4,3.6384058443365066
2015,1,3.8766749854570217
2015,2,4.037754751854762
2015,3,4.210907667364233
2015,4,4.381456979142555
2016,1,4.460450883337127
2016,2,4.62723300676262
2016,3,4.925072365876242
2016,4,5.13469350256577
2017,1,5.2733469585034
2017,2,5.530352252075001
2017,3,6.048790448698156
2017,4,8.449452895248502
2018,1,9.043488352267149
2018,2,9.271806371683175
2018,3,10.043622288499373
2018,4,10.604093281823625
2019,1,10.762038227717872
2019,2,12.727170741880121
2019,3,14.8765812559756
2019,4,17.685900962071216
2020,1,20.18773063343111
2020,2,21.45477645306433
2020,3,23.140832114549486
2020,4,24.263884926222506
2021,1,25.041744047227763
2021,2,27.94933656246772
2021,3,29.443956456865337
2021,4,32.28754512235868
2022,1,34.71125
2022,2,37.295833333333334
2022,3,39.6575
2022,4,68.50208333333333
2023,1,71.26083333333334
2023,2,76.04208333333334
2023,3,78.60958333333333
2023,4,85.20833333333333
2024,1,86.03541666666666
